WasdeNumber,ReportDate,ReportTitle,Attribute,ReliabilityProjection,Commodity,Region,MarketYear,ProjEstFlag,AnnualQuarterFlag,Value,Unit,ReleaseDate,ReleaseTime,ForecastYear,ForecastMonth
481,April 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2007/08,,Annual,19.21,Million 480 Pound Bales,2010-04-09,08:30:00.0000000,2010,4
481,April 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2008/09,Est.,Annual,12.82,Million 480 Pound Bales,2010-04-09,08:30:00.0000000,2010,4
481,April 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2009/10,Proj.,Annual,12.15,Million 480 Pound Bales,2010-04-09,08:30:00.0000000,2010,4
482,May 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2008/09,,Annual,12.82,Million 480 Pound Bales,2010-05-11,08:30:00.0000000,2010,5
482,May 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2009/10,Est.,Annual,12.19,Million 480 Pound Bales,2010-05-11,08:30:00.0000000,2010,5
482,May 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2010/011,Proj.,Annual,16.7,Million 480 Pound Bales,2010-05-11,08:30:00.0000000,2010,5
483,June 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2008/09,,Annual,12.82,Million 480 Pound Bales,2010-06-10,08:30:00.0000000,2010,6
483,June 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2009/10,Est.,Annual,12.19,Million 480 Pound Bales,2010-06-10,08:30:00.0000000,2010,6
483,June 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2010/011,Proj.,Annual,16.7,Million 480 Pound Bales,2010-06-10,08:30:00.0000000,2010,6
484,July 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2008/09,,Annual,12.82,Million 480 Pound Bales,2010-07-09,08:30:00.0000000,2010,7
484,July 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2009/10,Est.,Annual,12.19,Million 480 Pound Bales,2010-07-09,08:30:00.0000000,2010,7
484,July 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2010/011,Proj.,Annual,18.3,Million 480 Pound Bales,2010-07-09,08:30:00.0000000,2010,7
485,August 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2008/09,,Annual,12.82,Million 480 Pound Bales,2010-08-12,08:30:00.0000000,2010,8
485,August 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2009/10,Est.,Annual,12.19,Million 480 Pound Bales,2010-08-12,08:30:00.0000000,2010,8
485,August 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2010/011,Proj.,Annual,18.53,Million 480 Pound Bales,2010-08-12,08:30:00.0000000,2010,8
486,September 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2008/09,,Annual,12.82,Million 480 Pound Bales,2010-09-10,08:30:00.0000000,2010,9
486,September 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2009/10,Est.,Annual,12.19,Million 480 Pound Bales,2010-09-10,08:30:00.0000000,2010,9
486,September 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2010/011,Proj.,Annual,18.84,Million 480 Pound Bales,2010-09-10,08:30:00.0000000,2010,9
487,October 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2008/09,,Annual,12.82,Million 480 Pound Bales,2010-10-08,08:30:00.0000000,2010,10
487,October 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2009/10,Est.,Annual,12.19,Million 480 Pound Bales,2010-10-08,08:30:00.0000000,2010,10
487,October 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2010/011,Proj.,Annual,18.87,Million 480 Pound Bales,2010-10-08,08:30:00.0000000,2010,10
488,November 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2008/09,,Annual,12.82,Million 480 Pound Bales,2010-11-09,08:30:00.0000000,2010,11
488,November 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2009/10,Est.,Annual,12.19,Million 480 Pound Bales,2010-11-09,08:30:00.0000000,2010,11
488,November 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2010/011,Proj.,Annual,18.42,Million 480 Pound Bales,2010-11-09,08:30:00.0000000,2010,11
489,December 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2008/09,,Annual,12.82,Million 480 Pound Bales,2010-12-10,08:30:00.0000000,2010,12
489,December 2010,U.S. Cotton Supply and Use,Production,,Cotton,United States,2009/10,Est.,Annual,12.19,Million 480 Pound Bales,2010-12-10,08:30:00.0000000,2010,12
