Commodity,horizon_months,mae_raw,mape_raw,n
Corn,1.0,0.0,0.0,16
Corn,2.0,0.0,0.0,15
Corn,3.0,0.0,0.0,15
Corn,4.0,0.0,0.0,14
Corn,5.0,17.733333333333334,0.12774337665068333,15
Corn,6.0,17.733333333333334,0.12774337665068333,15
Corn,7.0,20.46153846153846,0.14739620382771154,13
Corn,8.0,26.466666666666665,0.18864817986581764,15
Corn,9.0,26.466666666666665,0.18864817986581764,15
Corn,10.0,26.466666666666665,0.18864817986581764,15
Corn,11.0,26.466666666666665,0.18864817986581764,15
Corn,12.0,29.133333333333333,0.20822723028187248,15
Corn,13.0,32.46666666666667,0.23311559514851374,15
Corn,14.0,32.0,0.22848872034865964,14
Corn,15.0,32.0,0.22848872034865964,14
Corn,16.0,28.307692307692307,0.2031509253148638,13
Corn,17.0,130.78571428571428,0.942465985423652,14
Corn,18.0,130.78571428571428,0.942465985423652,14
Corn,19.0,219.16666666666666,1.5635752027572167,12
Corn,20.0,259.0,1.885773049440741,14
Corn,21.0,373.14285714285717,2.7352926614359094,14
Corn,22.0,559.2142857142857,4.42774979220609,14
Corn,23.0,766.6428571428571,6.156551249937823,14
Corn,24.0,894.5,7.1105327662648445,14
Cotton,1.0,0.0,0.0,16
Cotton,2.0,0.0,0.0,15
Cotton,3.0,0.0,0.0,15
Cotton,4.0,0.0,0.0,14
Cotton,5.0,0.0,0.0,15
Cotton,6.0,0.0,0.0,15
Cotton,7.0,0.0,0.0,13
Cotton,8.0,0.0,0.0,14
Cotton,9.0,0.0,0.0,14
Cotton,10.0,0.0,0.0,14
Cotton,11.0,0.0,0.0,14
Cotton,12.0,0.0,0.0,14
Cotton,13.0,0.06142857142857126,0.3859392343232358,14
Cotton,14.0,0.12461538461538428,0.792947503314083,13
Cotton,15.0,0.20461538461538462,1.3175674575658798,13
Cotton,16.0,0.22000000000000006,1.4182919821325886,12
Cotton,17.0,0.4507692307692307,2.8725240971162,13
Cotton,18.0,0.6738461538461535,4.364491890999377,13
Cotton,19.0,0.9563636363636363,5.877238926080591,11
Cotton,20.0,1.063333333333333,6.545714915561002,12
Cotton,21.0,1.2891666666666663,8.231138804306074,12
Cotton,22.0,1.3800000000000001,9.251799441930181,12
Cotton,23.0,2.0783333333333336,13.611753604517373,12
Cotton,24.0,2.1200000000000006,13.711864348381619,12
Oats,1.0,0.0,0.0,16
Oats,2.0,0.0,0.0,15
Oats,3.0,0.0,0.0,15
Oats,4.0,0.0,0.0,14
Oats,5.0,0.06666666666666667,0.13333333333333333,15
Oats,6.0,0.06666666666666667,0.13333333333333333,15
Oats,7.0,0.07692307692307693,0.15384615384615385,13
Oats,8.0,0.2,0.33690753690753694,15
Oats,9.0,0.2,0.33690753690753694,15
Oats,10.0,0.2,0.33690753690753694,15
Oats,11.0,0.2,0.33690753690753694,15
Oats,12.0,0.2,0.33690753690753694,15
Oats,13.0,0.2,0.33690753690753694,15
Oats,14.0,0.21428571428571427,0.360972360972361,14
Oats,15.0,0.21428571428571427,0.360972360972361,14
Oats,16.0,0.23076923076923078,0.3887394656625426,13
Oats,17.0,0.21428571428571427,0.360972360972361,14
Oats,18.0,0.21428571428571427,0.360972360972361,14
Oats,19.0,0.3333333333333333,0.5530426557680227,12
Oats,20.0,5.857142857142857,9.48484223437491,14
Oats,21.0,5.857142857142857,9.48484223437491,14
Oats,22.0,5.785714285714286,9.361474019093537,14
Oats,23.0,9.0,15.367259946777065,14
Oats,24.0,9.0,15.367259946777065,14
Rice (Rough),1.0,0.0,0.0,16
Rice (Rough),2.0,0.0,0.0,15
Rice (Rough),3.0,0.0,0.0,15
Rice (Rough),4.0,0.0,0.0,14
Rice (Rough),5.0,0.2666666666666648,0.1327898171341658,15
Rice (Rough),6.0,0.2666666666666648,0.1327898171341658,15
Rice (Rough),7.0,0.2923076923076888,0.1451894710308298,13
Rice (Rough),8.0,0.2666666666666648,0.1327898171341658,15
Rice (Rough),9.0,0.2666666666666648,0.1327898171341658,15
Rice (Rough),10.0,0.2666666666666648,0.1327898171341658,15
Rice (Rough),11.0,0.2666666666666648,0.1327898171341658,15
Rice (Rough),12.0,0.2666666666666648,0.1327898171341658,15
Rice (Rough),13.0,0.2666666666666648,0.1327898171341658,15
Rice (Rough),14.0,0.2857142857142837,0.1422748040723205,14
Rice (Rough),15.0,0.2857142857142837,0.1422748040723205,14
Rice (Rough),16.0,0.2769230769230765,0.13947048055248398,13
Rice (Rough),17.0,2.8000000000000034,1.3790973255257448,14
Rice (Rough),18.0,2.8000000000000034,1.3790973255257448,14
Rice (Rough),19.0,2.9833333333333294,1.4199364730872166,12
Rice (Rough),20.0,4.742857142857143,2.286384772148059,14
Rice (Rough),21.0,10.707142857142864,5.390766845848036,14
Rice (Rough),22.0,11.435714285714292,5.770794305094761,14
Rice (Rough),23.0,14.442857142857147,7.391280349986807,14
Rice (Rough),24.0,16.700000000000003,8.611178441995014,14
Soybean Meal,1.0,0.625,0.0012696542477552513,16
Soybean Meal,2.0,0.6666666666666666,0.001354297864272268,15
Soybean Meal,3.0,7.4,0.015266586915246334,15
Soybean Meal,4.0,7.214285714285714,0.0149060239831865,14
Soybean Meal,5.0,7.4,0.015266586915246334,15
Soybean Meal,6.0,7.533333333333333,0.015586331119882625,15
Soybean Meal,7.0,122.07692307692308,0.2779225750143776,13
Soybean Meal,8.0,165.4,0.37768281641811097,15
Soybean Meal,9.0,310.53333333333336,0.6755817724986948,15
Soybean Meal,10.0,408.93333333333334,0.9013108289423022,15
Soybean Meal,11.0,531.4666666666667,1.1625824179914865,15
Soybean Meal,12.0,741.7333333333333,1.634143936133516,15
Soybean Meal,13.0,892.8666666666667,1.9756857962358083,15
Soybean Meal,14.0,1023.9285714285714,2.2493883886878394,14
Soybean Meal,15.0,998.9285714285714,2.1887756021531866,14
Soybean Meal,16.0,1105.6153846153845,2.4239779875890406,13
Soybean Meal,17.0,1119.357142857143,2.482311108396932,14
Soybean Meal,18.0,1122.857142857143,2.4989141231433902,14
