WasdeNumber,ReportDate,ReportTitle,Attribute,ReliabilityProjection,Commodity,Region,MarketYear,ProjEstFlag,AnnualQuarterFlag,Value,Unit,ReleaseDate,ReleaseTime,ForecastYear,ForecastMonth
481,April 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2007/08,,Annual,2051.0,Million Bushels,2010-04-09,08:30:00.0000000,2010,4
481,April 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2008/09,Est.,Annual,2499.0,Million Bushels,2010-04-09,08:30:00.0000000,2010,4
481,April 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,Proj.,Annual,2216.0,Million Bushels,2010-04-09,08:30:00.0000000,2010,4
482,May 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2008/09,,Annual,2499.0,Million Bushels,2010-05-11,08:30:00.0000000,2010,5
482,May 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,Est.,Annual,2216.0,Million Bushels,2010-05-11,08:30:00.0000000,2010,5
482,May 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Proj.,Annual,2043.0,Million Bushels,2010-05-11,08:30:00.0000000,2010,5
483,June 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2008/09,,Annual,2499.0,Million Bushels,2010-06-10,08:30:00.0000000,2010,6
483,June 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,Est.,Annual,2216.0,Million Bushels,2010-06-10,08:30:00.0000000,2010,6
483,June 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Proj.,Annual,2067.0,Million Bushels,2010-06-10,08:30:00.0000000,2010,6
484,July 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2008/09,,Annual,2499.0,Million Bushels,2010-07-09,08:30:00.0000000,2010,7
484,July 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,Est.,Annual,2216.0,Million Bushels,2010-07-09,08:30:00.0000000,2010,7
484,July 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Proj.,Annual,2216.0,Million Bushels,2010-07-09,08:30:00.0000000,2010,7
485,August 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2008/09,,Annual,2499.0,Million Bushels,2010-08-12,08:30:00.0000000,2010,8
485,August 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,Est.,Annual,2216.0,Million Bushels,2010-08-12,08:30:00.0000000,2010,8
485,August 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Proj.,Annual,2265.0,Million Bushels,2010-08-12,08:30:00.0000000,2010,8
486,September 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2008/09,,Annual,2499.0,Million Bushels,2010-09-10,08:30:00.0000000,2010,9
486,September 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,Est.,Annual,2216.0,Million Bushels,2010-09-10,08:30:00.0000000,2010,9
486,September 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Proj.,Annual,2265.0,Million Bushels,2010-09-10,08:30:00.0000000,2010,9
487,October 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2008/09,,Annual,2499.0,Million Bushels,2010-10-08,08:30:00.0000000,2010,10
487,October 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,Est.,Annual,2218.0,Million Bushels,2010-10-08,08:30:00.0000000,2010,10
487,October 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Proj.,Annual,2224.0,Million Bushels,2010-10-08,08:30:00.0000000,2010,10
488,November 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2008/09,,Annual,2499.0,Million Bushels,2010-11-09,08:30:00.0000000,2010,11
488,November 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,Est.,Annual,2218.0,Million Bushels,2010-11-09,08:30:00.0000000,2010,11
488,November 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Proj.,Annual,2208.0,Million Bushels,2010-11-09,08:30:00.0000000,2010,11
489,December 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2008/09,,Annual,2499.0,Million Bushels,2010-12-10,08:30:00.0000000,2010,12
489,December 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,Est.,Annual,2218.0,Million Bushels,2010-12-10,08:30:00.0000000,2010,12
489,December 2010,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Proj.,Annual,2208.0,Million Bushels,2010-12-10,08:30:00.0000000,2010,12
490,January 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2008/09,,Annual,2499.0,Million Bushels,2011-01-12,08:30:00.0000000,2011,1
490,January 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,Est.,Annual,2218.0,Million Bushels,2011-01-12,08:30:00.0000000,2011,1
490,January 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Proj.,Annual,2208.0,Million Bushels,2011-01-12,08:30:00.0000000,2011,1
491,February 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2008/09,,Annual,2499.0,Million Bushels,2011-02-09,08:30:00.0000000,2011,2
491,February 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,Est.,Annual,2218.0,Million Bushels,2011-02-09,08:30:00.0000000,2011,2
491,February 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Proj.,Annual,2208.0,Million Bushels,2011-02-09,08:30:00.0000000,2011,2
492,March 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2008/09,,Annual,2499.0,Million Bushels,2011-03-10,08:30:00.0000000,2011,3
492,March 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,Est.,Annual,2218.0,Million Bushels,2011-03-10,08:30:00.0000000,2011,3
492,March 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Proj.,Annual,2208.0,Million Bushels,2011-03-10,08:30:00.0000000,2011,3
493,April 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2008/09,,Annual,2499.0,Million Bushels,2011-04-08,08:30:00.0000000,2011,4
493,April 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,Est.,Annual,2218.0,Million Bushels,2011-04-08,08:30:00.0000000,2011,4
493,April 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Proj.,Annual,2208.0,Million Bushels,2011-04-08,08:30:00.0000000,2011,4
494,May 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,,Annual,2218.0,Million Bushels,2011-05-11,08:30:00.0000000,2011,5
494,May 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Est.,Annual,2208.0,Million Bushels,2011-05-11,08:30:00.0000000,2011,5
494,May 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2011/12,Proj.,Annual,2043.0,Million Bushels,2011-05-11,08:30:00.0000000,2011,5
495,June 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,,Annual,2218.0,Million Bushels,2011-06-09,08:30:00.0000000,2011,6
495,June 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Est.,Annual,2208.0,Million Bushels,2011-06-09,08:30:00.0000000,2011,6
495,June 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2011/12,Proj.,Annual,2058.0,Million Bushels,2011-06-09,08:30:00.0000000,2011,6
496,July 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,,Annual,2218.0,Million Bushels,2011-07-12,08:30:00.0000000,2011,7
496,July 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Est.,Annual,2208.0,Million Bushels,2011-07-12,08:30:00.0000000,2011,7
496,July 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2011/12,Proj.,Annual,2106.0,Million Bushels,2011-07-12,08:30:00.0000000,2011,7
497,August 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,,Annual,2218.0,Million Bushels,2011-08-11,08:30:00.0000000,2011,8
497,August 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Est.,Annual,2208.0,Million Bushels,2011-08-11,08:30:00.0000000,2011,8
497,August 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2011/12,Proj.,Annual,2077.0,Million Bushels,2011-08-11,08:30:00.0000000,2011,8
498,September 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,,Annual,2218.0,Million Bushels,2011-09-12,08:30:00.0000000,2011,9
498,September 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Est.,Annual,2208.0,Million Bushels,2011-09-12,08:30:00.0000000,2011,9
498,September 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2011/12,Proj.,Annual,2077.0,Million Bushels,2011-09-12,08:30:00.0000000,2011,9
499,October 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,,Annual,2218.0,Million Bushels,2011-10-12,08:30:00.0000000,2011,10
499,October 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Est.,Annual,2207.0,Million Bushels,2011-10-12,08:30:00.0000000,2011,10
499,October 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2011/12,Proj.,Annual,2008.0,Million Bushels,2011-10-12,08:30:00.0000000,2011,10
500,November 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,,Annual,2218.0,Million Bushels,2011-11-09,08:30:00.0000000,2011,11
500,November 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Est.,Annual,2207.0,Million Bushels,2011-11-09,08:30:00.0000000,2011,11
500,November 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2011/12,Proj.,Annual,1999.0,Million Bushels,2011-11-09,08:30:00.0000000,2011,11
501,December 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,,Annual,2218.0,Million Bushels,2011-12-09,08:30:00.0000000,2011,12
501,December 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Est.,Annual,2207.0,Million Bushels,2011-12-09,08:30:00.0000000,2011,12
501,December 2011,U.S. Wheat Supply and Use,Production,,Wheat,United States,2011/12,Proj.,Annual,1999.0,Million Bushels,2011-12-09,08:30:00.0000000,2011,12
502,January 2012,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,,Annual,2218.0,Million Bushels,2012-01-12,08:30:00.0000000,2012,1
502,January 2012,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Est.,Annual,2207.0,Million Bushels,2012-01-12,08:30:00.0000000,2012,1
502,January 2012,U.S. Wheat Supply and Use,Production,,Wheat,United States,2011/12,Proj.,Annual,1999.0,Million Bushels,2012-01-12,08:30:00.0000000,2012,1
503,February 2012,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,,Annual,2218.0,Million Bushels,2012-02-09,08:30:00.0000000,2012,2
503,February 2012,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Est.,Annual,2207.0,Million Bushels,2012-02-09,08:30:00.0000000,2012,2
503,February 2012,U.S. Wheat Supply and Use,Production,,Wheat,United States,2011/12,Proj.,Annual,1999.0,Million Bushels,2012-02-09,08:30:00.0000000,2012,2
504,March 2012,U.S. Wheat Supply and Use,Production,,Wheat,United States,2009/10,,Annual,2218.0,Million Bushels,2012-03-09,08:30:00.0000000,2012,3
504,March 2012,U.S. Wheat Supply and Use,Production,,Wheat,United States,2010/11,Est.,Annual,2207.0,Million Bushels,2012-03-09,08:30:00.0000000,2012,3
